Kod;Nazwa;Wskaźniki;Rok;Wartosc;Jednostka miary;Atrybut
608112;Ostrówek (2);ludność na 1 km2;2006;46;osoba; 
608122;Serniki (2);ludność na 1 km2;2006;64;osoba; 
608132;Uścimów (2);ludność na 1 km2;2006;32;osoba; 
609013;Bełżyce (3);ludność na 1 km2;2006;103;osoba; 
609022;Borzechów (2);ludność na 1 km2;2006;56;osoba; 
609033;Bychawa (3);ludność na 1 km2;2006;84;osoba; 
609042;Garbów (2);ludność na 1 km2;2006;88;osoba; 
609052;Głusk (2);ludność na 1 km2;2006;117;osoba; 
609062;Jabłonna (2);ludność na 1 km2;2006;58;osoba; 
609072;Jastków (2);ludność na 1 km2;2006;109;osoba; 
609082;Konopnica (2);ludność na 1 km2;2006;120;osoba; 
609092;Krzczonów (2);ludność na 1 km2;2006;38;osoba; 
609102;Niedrzwica Duża (2);ludność na 1 km2;2006;104;osoba; 
609112;Niemce (2);ludność na 1 km2;2006;117;osoba; 
609122;Strzyżewice (2);ludność na 1 km2;2006;70;osoba; 
609132;Wojciechów (2);ludność na 1 km2;2006;74;osoba; 
609142;Wólka (2);ludność na 1 km2;2006;129;osoba; 
609152;Wysokie (2);ludność na 1 km2;2006;45;osoba; 
609162;Zakrzew (2);ludność na 1 km2;2006;43;osoba; 
610012;Cyców (2);ludność na 1 km2;2006;51;osoba; 
610022;Ludwin (2);ludność na 1 km2;2006;41;osoba; 
610033;Łęczna (3);ludność na 1 km2;2006;334;osoba; 
610042;Milejów (2);ludność na 1 km2;2006;80;osoba; 
610052;Puchaczów (2);ludność na 1 km2;2006;54;osoba; 
610062;Spiczyn (2);ludność na 1 km2;2006;66;osoba; 
611011;Łuków (1);ludność na 1 km2;2006;856;osoba; 
611021;Stoczek Łukowski (1);ludność na 1 km2;2006;300;osoba; 
611032;Adamów (2);ludność na 1 km2;2006;59;osoba; 
611042;Krzywda (2);ludność na 1 km2;2006;65;osoba; 
611052;Łuków (2);ludność na 1 km2;2006;54;osoba; 
611062;Serokomla (2);ludność na 1 km2;2006;54;osoba; 
611072;Stanin (2);ludność na 1 km2;2006;60;osoba; 
611082;Stoczek Łukowski (2);ludność na 1 km2;2006;49;osoba; 
611092;Trzebieszów (2);ludność na 1 km2;2006;54;osoba; 
611102;Wojcieszków (2);ludność na 1 km2;2006;64;osoba; 
611112;Wola Mysłowska (2);ludność na 1 km2;2006;43;osoba; 
612012;Chodel (2);ludność na 1 km2;2006;62;osoba; 
612032;Karczmiska (2);ludność na 1 km2;2006;65;osoba; 
612042;Łaziska (2);ludność na 1 km2;2006;48;osoba; 
612053;Opole Lubelskie (3);ludność na 1 km2;2006;92;osoba; 
612063;Poniatowa (3);ludność na 1 km2;2006;179;osoba; 
612072;Wilków (2);ludność na 1 km2;2006;62;osoba; 
613012;Dębowa Kłoda (2);ludność na 1 km2;2006;21;osoba; 
613022;Jabłoń (2);ludność na 1 km2;2006;38;osoba; 
613032;Milanów (2);ludność na 1 km2;2006;36;osoba; 
613043;Parczew (3);ludność na 1 km2;2006;101;osoba; 
613052;Podedwórze (2);ludność na 1 km2;2006;17;osoba; 
613062;Siemień (2);ludność na 1 km2;2006;44;osoba; 
613072;Sosnowica (2);ludność na 1 km2;2006;15;osoba; 
614011;Puławy (1);ludność na 1 km2;2006;985;osoba; 
614022;Baranów (2);ludność na 1 km2;2006;50;osoba; 
614032;Janowiec (2);ludność na 1 km2;2006;46;osoba; 
614043;Kazimierz Dolny (3);ludność na 1 km2;2006;97;osoba; 
614052;Końskowola (2);ludność na 1 km2;2006;101;osoba; 
614062;Kurów (2);ludność na 1 km2;2006;78;osoba; 
614072;Markuszów (2);ludność na 1 km2;2006;75;osoba; 
614083;Nałęczów (3);ludność na 1 km2;2006;151;osoba; 
614092;Puławy (2);ludność na 1 km2;2006;69;osoba; 
614102;Wąwolnica (2);ludność na 1 km2;2006;79;osoba; 
614112;Żyrzyn (2);ludność na 1 km2;2006;51;osoba; 
